,,,,,,
,Hon. Mary Louise Costello Daniel,,Hon. Elizabeth Kellas Burton,Presiding Judge,Hon. Alexander R. Iden,Presiding Judge
,Hon. W. Dale Houff,,Hon. Hugh David O'Donnell,Chief Judge,Hon. Brian M. Madden,Presiding Judge
,Hon. Amy B. Tisinger,,Hon. Anthony Wayne Bailey,,Hon. Clark Andrew Ritchie,
,,,Hon. Rachel E. Figura,,Hon. Bruce D. Albertson,
,,,Hon. Daryl L. Funk,,Hon. Kevin C. Black,
,,,Hon. Chad A. Logan,,Hon. William W. Sharp,
,,,,,Hon. Thomas J. Wilson IV,
Fredericksburg ,Hon. John S. Martin,Chief Judge,Hon. Joseph A. Vance IV,Presiding Judge,Hon. Gordon F. Willis,Presiding Judge
,Hon. David B. Caddell Jr.,,Hon. Georgia K. Sutton,Chief Judge,Hon. Sarah L. Deneke,Chief Judge
,Hon. Hugh S. Campbell,,Hon. John E. Franklin,,Hon. William E. Glover,
,Hon. Richard T. McGrath,,Hon. Shannon O. Hoehl,,Hon. John Overton Harris,
,Hon. Angela M. O'Connor,,Hon. Julian W. Johnson,,Hon. Herbert M. Hewitt,
,Hon. Robert Eric Reibach,,Hon. Marcel D. Jones,,Hon. Patricia Kelly,
,Hon. Jane M. Reynolds,,Hon. William L. Lewis,,Hon. Michael E. Levy,
,,,Hon. Andrea M. Stewart,,Hon. Roy Michael McKenney,
,,,Hon. Frank G Uvanni,,Hon. Ricardo Rigual,
,,,,,Hon. James Bruce Strickland,
,,,,,Hon. Victoria A. B. Willis,
Giles ,Hon. Gino W. Williams,"Presiding Judge, Chief Judge",Hon. Stephanie Murray Shortt,"Presiding Judge, Chief Judge",Hon. Bradley W. Finch,Chief Judge
,Hon. J. D. Bolt,,Hon. Howard Lee Chitwood,,Hon. Kenneth M. Fleenor Jr.,
,Hon. Erin J. DeHart,,Hon. Monica D. Cox,,Hon. Brett L. Geisler,
,Hon. Randal J. Duncan,,Hon. Bradley G Dalton,,Hon. Hugh Lee Harrell,
,Hon. Gerald Eugene Mabe II,,Hon. Robert C. Viar Jr.,,Hon. Josiah T. Showalter Jr.,
,,,,,Hon. Robert M. D. Turk,
Gloucester,Hon. Stephanie E. Merritt,Presiding Judge,Hon. Cressondra B. Conyers,"Presiding Judge, Chief Judge",Hon. Jeffrey W. Shaw,Presiding Judge
,Hon. Stephen Ashton Hudgins,Chief Judge,Hon. Wade A. Bowie,,Hon. Richard H. Rizk,Chief Judge
,Hon. Colleen K. Killilea,,Hon. Mara M. Matthews,,Hon. Benjamin Elliott Bondurant,
,,,Hon. Brian J. Smalls,,Hon. Holly B. Smith,
Goochland,Hon. Claiborne H. Stokes Jr.,Chief Judge,Hon. Deborah S. Tinsley,"Presiding Judge, Chief Judge",Hon. Timothy K. Sanner,"Presiding Judge, Chief Judge"
,Hon. Theresa W. Carter,,Hon. David M Barredo,,Hon. Dale B. Durrer,
,Hon. Matthew J. Quatrara,,Hon. Gilbert H. Berger,,Hon. David B. Franzen,
,Hon. Kenneth Andrew Sneathern,,Hon. Barbara G. Lowe,,Hon. Cheryl V. Higgins,
,,,Hon. Ronald L. Morris,,Hon. Richard E. Moore,
,,,Hon. Frank W. Somerville,,Hon. Claude V. Worrell Jr.,
Grayson ,Hon. J. D. Bolt,Presiding Judge,Hon. Monica D. Cox,Presiding Judge,Hon. Hugh Lee Harrell,Presiding Judge
,Hon. Gino W. Williams,Chief Judge,Hon. Stephanie Murray Shortt,Chief Judge,Hon. Bradley W. Finch,Chief Judge
,Hon. Erin J. DeHart,,Hon. Howard Lee Chitwood,,Hon. Kenneth M. Fleenor Jr.,
,Hon. Randal J. Duncan,,Hon. Bradley G Dalton,,Hon. Brett L. Geisler,
,Hon. Gerald Eugene Mabe II,,Hon. Robert C. Viar Jr.,,Hon. Josiah T. Showalter Jr.,
,,,,,Hon. Robert M. D. Turk,
Greene ,Hon. Kenneth Andrew Sneathern,Presiding Judge,Hon. David M Barredo,Presiding Judge,Hon. Claude V. Worrell Jr.,Presiding Judge
,Hon. Claiborne H. Stokes Jr.,Chief Judge,Hon. Deborah S. Tinsley,Chief Judge,Hon. Timothy K. Sanner,Chief Judge
,Hon. Theresa W. Carter,,Hon. Gilbert H. Berger,,Hon. Dale B. Durrer,
,Hon. Matthew J. Quatrara,,Hon. Barbara G. Lowe,,Hon. David B. Franzen,
,,,Hon. Ronald L. Morris,,Hon. Cheryl V. Higgins,
,,,Hon. Frank W. Somerville,,Hon. Richard E. Moore,
Greensville ,Hon. Bruce A. Clark Jr.,Chief Judge,Hon. Jacqueline R. Waymack,Chief Judge,Hon. William Allan Sharrett,Presiding Judge
,Hon. Churchill Ridley Bain,,Hon. Christopher B. Ackerman,,Hon. William Edward Tomko III,Chief Judge
,Hon. Elbert D. Mumphery,,Hon. Wallace W. Brittle Jr.,,Hon. Carson E. Saunders Jr.,
,Hon. Lyndia P. Ramsey,,,,,
,Hon. Harold Lee Townsend III,,,,,
Halifax ,Hon. Darrel W. Puckett,Presiding Judge,Hon. Nora J. Miller,Presiding Judge,Hon. Kimberley S. White,Chief Judge
,Hon. Calvin S. Spencer Jr.,Chief Judge,Hon. Robert H. Morrison,Presiding Judge,Hon. Donald Carl Blessing,
,Hon. Jody H. Fariss,,Hon. Marvin H. Dunkum Jr.,Chief Judge,Hon. Stephen Anderson Nelson,
,,,,,Hon. James William Watson Jr.,
Hampton,Hon. Selena Stellute Glenn,"Presiding Judge, Chief Judge",Hon. Jay Edward Dugger,"Presiding Judge, Chief Judge",Hon. Christopher W. Hutton,Presiding Judge
,Hon. Tonya Henderson-Stith,Presiding Judge,Hon. Gregory C. Bane,Presiding Judge,Hon. Bonnie L. Jones,Presiding Judge
,Hon. Corry N. Smith,Presiding Judge,Hon. Robert B. Wilson V,Presiding Judge,Hon. Michael A. Gaten,Chief Judge
Hanover ,Hon. Hugh S. Campbell,Presiding Judge,Hon. Shannon O. Hoehl,Presiding Judge,Hon. John Overton Harris,Presiding Judge
,Hon. John S. Martin,Chief Judge,Hon. Georgia K. Sutton,Chief Judge,Hon. Patricia Kelly,Presiding Judge
,Hon. David B. Caddell Jr.,,Hon. John E. Franklin,,Hon. Sarah L. Deneke,Chief Judge
,Hon. Richard T. McGrath,,Hon. Julian W. Johnson,,Hon. William E. Glover,
,Hon. Angela M. O'Connor,,Hon. Marcel D. Jones,,Hon. Herbert M. Hewitt,
,Hon. Robert Eric Reibach,,Hon. William L. Lewis,,Hon. Michael E. Levy,
,Hon. Jane M. Reynolds,,Hon. Andrea M. Stewart,,Hon. Roy Michael McKenney,
,,,Hon. Frank G Uvanni,,Hon. Ricardo Rigual,
,,,Hon. Joseph A. Vance IV,,Hon. James Bruce Strickland,
,,,,,Hon. Gordon F. Willis,
,,,,,Hon. Victoria A. B. Willis,
Rockingham ,Hon. John Stanley Hart Jr.,"Presiding Judge, Chief Judge",Hon. Hugh David O'Donnell,"Presiding Judge, Chief Judge",Hon. Clark Andrew Ritchie,"Presiding Judge, Chief Judge"
,Hon. Mary Louise Costello Daniel,,Hon. Kimberly Marion Athey,,Hon. Bruce D. Albertson,Presiding Judge
,Hon. W. Dale Houff,,Hon. Anthony Wayne Bailey,,Hon. Thomas J. Wilson IV,Presiding Judge
,Hon. Amy B. Tisinger,,Hon. Elizabeth Kellas Burton,,Hon. Kevin C. Black,
,,,Hon. Rachel E. Figura,,Hon. William W. Eldridge IV,
,,,Hon. Daryl L. Funk,,Hon. Alexander R. Iden,
,,,Hon. Chad A. Logan,,Hon. Brian M. Madden,
,,,,,Hon. William W. Sharp,
Henrico ,Hon. John K. Honey Jr.,"Presiding Judge, Chief Judge",Hon. Margaret W. Deglau,"Presiding Judge, Chief Judge",Hon. Lee A. Harris Jr.,"Presiding Judge, Chief Judge"
,Hon. Thomas O. Bondurant Jr.,Presiding Judge,Hon. Linda Lambert Anderson,Presiding Judge,Hon. Rondelle D. Herman,Presiding Judge
,Hon. Lauren A. Caudill,Presiding Judge,Hon. Sharon Gregory Jacobs,Presiding Judge,Hon. Randall G. Johnson Jr.,Presiding Judge
,Hon. George Barton Chucker,Presiding Judge,Hon. Stacy E. Lee,Presiding Judge,Hon. John Marshall,Presiding Judge
,Hon. Bryan Craig Dunkum,Presiding Judge,Hon. Stuart L. Williams Jr.,Presiding Judge,Hon. Richard S. Wallerstein Jr.,Presiding Judge
Henry ,Hon. James R. McGarry,Chief Judge,Hon. Susan N. Deatherage,"Presiding Judge, Chief Judge",Hon. David V. Williams,Presiding Judge
,Hon. Joan Ziglar,,Hon. Kimberly R. Belongia,,Hon. Giles Carter Greer,Chief Judge
,,,,,Hon. Marcus A. Brinks,
Highland ,Hon. William Harrison Cleaveland,Chief Judge,Hon. Correy R. Smith,Chief Judge,Hon. Edward K. Stein,Presiding Judge
,Hon. Christopher M. Billias,,Hon. Robert C. Hagan Jr.,,Hon. William Chapman Goodwin,Chief Judge
,Hon. Robin J. Mayer,,Hon. Linda Schorsch Jones,,Hon. Joel R. Branscom,
,Hon. Rupen R. Shah,,Hon. Susan B. Read,,Hon. Paul A. Dryer,
,,,Hon. Paul A. Tucker,,Hon. Anne M. Reed,
,,,,,Hon. Christopher B. Russell,
Hopewell ,Hon. Bruce A. Clark Jr.,"Presiding Judge, Chief Judge",Hon. Jacqueline R. Waymack,"Presiding Judge, Chief Judge",Hon. William Allan Sharrett,Presiding Judge
,Hon. Elbert D. Mumphery,Presiding Judge,Hon. Christopher B. Ackerman,Presiding Judge,Hon. William Edward Tomko III,Chief Judge
,Hon. Churchill Ridley Bain,,Hon. Wallace W. Brittle Jr.,Presiding Judge,Hon. Carson E. Saunders Jr.,
,Hon. Lyndia P. Ramsey,,,,,
,Hon. Harold Lee Townsend III,,,,,
Isle of Wight,Hon. Alfred W. Bates III,"Presiding Judge, Chief Judge",Hon. James E. Wiser,"Presiding Judge, Chief Judge",Hon. Carl Edward Eason Jr.,"Presiding Judge, Chief Judge"
,Hon. Nicole A. Belote,Presiding Judge,Hon. Stan D. Clark,,Hon. Lawson Wayne Farmer,
,Hon. Helivi L. Holland,,,,Hon. Matthew A. Glassman,
,,,,,Hon. Robert H. Sandwich Jr.,
James City County/Williamsburg,Hon. Colleen K. Killilea,Presiding Judge,Hon. Cressondra B. Conyers,Chief Judge,Hon. Richard H. Rizk,Chief Judge
,Hon. Stephen Ashton Hudgins,Chief Judge,Hon. Wade A. Bowie,,Hon. Benjamin Elliott Bondurant,
,Hon. Stephanie E. Merritt,,Hon. Mara M. Matthews,,Hon. Jeffrey W. Shaw,
,,,Hon. Brian J. Smalls,,Hon. Holly B. Smith,
King George,Hon. David B. Caddell Jr.,Presiding Judge,Hon. Joseph A. Vance IV,Presiding Judge,Hon. Herbert M. Hewitt,Presiding Judge
,Hon. Robert Eric Reibach,Presiding Judge,Hon. Georgia K. Sutton,Chief Judge,Hon. Sarah L. Deneke,Chief Judge
,"Hon. John S. Martin, Chief Judge",,Hon. John E. Franklin,,Hon. William E. Glover,
,Hon. Hugh S. Campbell,,Hon. Shannon O. Hoehl,,Hon. John Overton Harris,
,Hon. Richard T. McGrath,,Hon. Julian W. Johnson,,Hon. Patricia Kelly,
,Hon. Angela M. O'Connor,,Hon. Marcel D. Jones,,Hon. Michael E. Levy,
,Hon. Jane M. Reynolds,,Hon. William L. Lewis,,Hon. Roy Michael McKenney,
,,,Hon. Andrea M. Stewart,,Hon. Ricardo Rigual,
,,,Hon. Frank G Uvanni,,Hon. James Bruce Strickland,
,,,,,Hon. Gordon F. Willis,
,,,,,Hon. Victoria A. B. Willis,
King William,Hon. Stephen Ashton Hudgins,Chief Judge,Hon. Mara M. Matthews,Presiding Judge,Hon. Benjamin Elliott Bondurant,Presiding Judge
,Hon. Colleen K. Killilea,,Hon. Cressondra B. Conyers,Chief Judge,"Hon. Richard H. Rizk, Chief Judge",
,Hon. Stephanie E. Merritt,,Hon. Wade A. Bowie,,Hon. Jeffrey W. Shaw,
,,,Hon. Brian J. Smalls,,Hon. Holly B. Smith,
King and Queen,Hon. Stephen Ashton Hudgins,Chief Judge,Hon. Mara M. Matthews,Presiding Judge,Hon. Benjamin Elliott Bondurant,Presiding Judge
,Hon. Colleen K. Killilea,,Hon. Cressondra B. Conyers,Chief Judge,"Hon. Richard H. Rizk, Chief Judge",
,Hon. Stephanie E. Merritt,,Hon. Wade A. Bowie,,Hon. Jeffrey W. Shaw,
,,,Hon. Brian J. Smalls,,Hon. Holly B. Smith,
Lancaster,Hon. John S. Martin,"Presiding Judge, Chief Judge",Hon. William L. Lewis,Presiding Judge,Hon. Roy Michael McKenney,Presiding Judge
,Hon. David B. Caddell Jr.,,Hon. Georgia K. Sutton,Chief Judge,Hon. Sarah L. Deneke,Chief Judge
,Hon. Hugh S. Campbell,,Hon. John E. Franklin,,Hon. William E. Glover,
,Hon. Richard T. McGrath,,Hon. Shannon O. Hoehl,,Hon. John Overton Harris,
,Hon. Angela M. O'Connor,,Hon. Julian W. Johnson,,Hon. Herbert M. Hewitt,
,Hon. Robert Eric Reibach,,Hon. Marcel D. Jones,,Hon. Patricia Kelly,
,Hon. Jane M. Reynolds,,Hon. Andrea M. Stewart,,Hon. Michael E. Levy,
,,,Hon. Frank G Uvanni,,Hon. Ricardo Rigual,
,,,Hon. Joseph A. Vance IV,,Hon. James Bruce Strickland,
,,,,,Hon. Gordon F. Willis,
,,,,,Hon. Victoria A. B. Willis,
Lee ,Hon. Shawn L Hines,Chief Judge,Hon. Marcus F. McClung,Chief Judge,Hon. Tammy S. McElyea,Presiding Judge
,Hon. Andrew L. Johnson,,Hon. Kimberly M. Jenkins,,Hon. John C. Kilgore,Chief Judge
,,,Hon. Elizabeth S. Wills,,Hon. Ronald Kelley Elkins,
,,,,,Hon. Jeffrey Hamilton,
Loudoun ,Hon. Matthew Parke Snow,Presiding Judge,Hon. Pamela L. Brooks,"Presiding Judge, Chief Judge",Hon. Douglas L. Fleming Jr.,Chief Judge
,Hon. Lorrie Ann Sinclair Taylor,Presiding Judge,Hon. Avelina S. Jacob,Presiding Judge,Hon. James P. Fisher,
,Hon. Deborah C. Welsh,Chief Judge,Hon. Melissa N. Cupp,,Hon. Jeanette A. Irby,
,Hon. Jessica H. Foster,,,,Hon. James E. Plowman Jr.,
,,,,,Hon. Stephen E. Sincavage,
Louisa ,Hon. Claiborne H. Stokes Jr.,Chief Judge,Hon. Deborah S. Tinsley,"Presiding Judge, Chief Judge",Hon. Timothy K. Sanner,"Presiding Judge, Chief Judge"
,Hon. Theresa W. Carter,,Hon. Gilbert H. Berger,Presiding Judge,Hon. Dale B. Durrer,
,Hon. Matthew J. Quatrara,,Hon. David M Barredo,,Hon. David B. Franzen,
,Hon. Kenneth Andrew Sneathern,,Hon. Barbara G. Lowe,,Hon. Cheryl V. Higgins,
,,,Hon. Ronald L. Morris,,Hon. Richard E. Moore,
,,,Hon. Frank W. Somerville,,Hon. Claude V. Worrell Jr.,
Lunenburg ,Hon. Calvin S. Spencer Jr.,Chief Judge,Hon. Robert H. Morrison,Presiding Judge,Hon. James William Watson Jr.,Presiding Judge
,Hon. Jody H. Fariss,,Hon. Marvin H. Dunkum Jr.,Chief Judge,Hon. Kimberley S. White,Chief Judge
,Hon. Darrel W. Puckett,,Hon. Nora J. Miller,,Hon. Donald Carl Blessing,
,,,,,Hon. Stephen Anderson Nelson,
Lynchburg ,Hon. Stephanie S. Maddox,Presiding Judge,Hon. H. Cary Payne,Presiding Judge,Hon. Frank Patrick Yeatts,Presiding Judge
,Hon. Sam Daniel Eggleston,Chief Judge,Hon. Brooke Taylor Willse Gaddy,Chief Judge,Hon. Michael T. Garrett,Chief Judge
,Hon. Randy C. Krantz,,Hon. Jeffrey P. Bennett,,Hon. John T. Cook,
,,,Hon. Robert Louis Harrison Jr.,,Hon. Michael R. Doucette,
,,,Hon. Stephanie Mutter-Ayers,,Hon. James W. Updike Jr.,
,,,Hon. Jennifer E. Stille,,Hon. James F. Watson,
Madison ,Hon. Claiborne H. Stokes Jr.,Chief Judge,Hon. Deborah S. Tinsley,"Presiding Judge, Chief Judge",Hon. David B. Franzen,Presiding Judge
,Hon. Theresa W. Carter,,Hon. David M Barredo,,Hon. Timothy K. Sanner,Chief Judge
,Hon. Matthew J. Quatrara,,Hon. Gilbert H. Berger,,Hon. Dale B. Durrer,
,Hon. Kenneth Andrew Sneathern,,Hon. Barbara G. Lowe,,Hon. Cheryl V. Higgins,
,,,Hon. Ronald L. Morris,,Hon. Richard E. Moore,
,,,Hon. Frank W. Somerville,,Hon. Claude V. Worrell Jr.,
Martinsville ,Hon. James R. McGarry,Chief Judge,Hon. Kimberly R. Belongia,Presiding Judge,Hon. Giles Carter Greer,"Presiding Judge, Chief Judge"
,Hon. Joan Ziglar,,Hon. Susan N. Deatherage,Chief Judge,Hon. Marcus A. Brinks,
,,,,,Hon. David V. Williams,
Mathews ,Hon. Stephanie E. Merritt,Presiding Judge,Hon. Cressondra B. Conyers,"Presiding Judge, Chief Judge",Hon. Jeffrey W. Shaw,Presiding Judge
,Hon. Stephen Ashton Hudgins,Chief Judge,Hon. Wade A. Bowie,,Hon. Richard H. Rizk,Chief Judge
,Hon. Colleen K. Killilea,,Hon. Mara M. Matthews,,Hon. Benjamin Elliott Bondurant,
,,,Hon. Brian J. Smalls,,Hon. Holly B. Smith,
Mecklenburg ,Hon. Calvin S. Spencer Jr.,Chief Judge,Hon. Nora J. Miller,Presiding Judge,Hon. Kimberley S. White,Chief Judge
,Hon. Jody H. Fariss,,Hon. Marvin H. Dunkum Jr.,Chief Judge,Hon. Donald Carl Blessing,
,Hon. Darrel W. Puckett,,Hon. Robert H. Morrison,,Hon. Stephen Anderson Nelson,
,,,,,Hon. James William Watson Jr.,
Middlesex ,Hon. Stephanie E. Merritt,Presiding Judge,Hon. Mara M. Matthews,Presiding Judge,Hon. Jeffrey W. Shaw,Presiding Judge
,Hon. Stephen Ashton Hudgins,Chief Judge,Hon. Cressondra B. Conyers,Chief Judge,Hon. Richard H. Rizk,Chief Judge
,Hon. Colleen K. Killilea,,Hon. Wade A. Bowie,,Hon. Benjamin Elliott Bondurant,
,,,Hon. Brian J. Smalls,,Hon. Holly B. Smith,
Montgomery ,Hon. Gino W. Williams,"Presiding Judge, Chief Judge",Hon. Robert C. Viar Jr.,Presiding Judge,Hon. Kenneth M. Fleenor Jr.,Presiding Judge
,Hon. Randal J. Duncan,Presiding Judge,Hon. Stephanie Murray Shortt,Chief Judge,Hon. Robert M. D. Turk,Presiding Judge
,Hon. J. D. Bolt,,Hon. Howard Lee Chitwood,,Hon. Bradley W. Finch,Chief Judge
,Hon. Erin J. DeHart,,Hon. Monica D. Cox,,Hon. Brett L. Geisler,
,Hon. Gerald Eugene Mabe II,,Hon. Bradley G Dalton,,Hon. Hugh Lee Harrell,
,,,,,Hon. Josiah T. Showalter Jr.,
Nelson,Hon. Sam Daniel Eggleston,Chief Judge,Hon. Jennifer E. Stille,Presiding Judge,Hon. Michael T. Garrett,Chief Judge
,Hon. Randy C. Krantz,,Hon. Brooke Taylor Willse Gaddy,Chief Judge,Hon. John T. Cook,
,Hon. Stephanie S. Maddox,,Hon. Jeffrey P. Bennett,,Hon. Michael R. Doucette,
,,,Hon. Robert Louis Harrison Jr.,,Hon. James W. Updike Jr.,
,,,Hon. Stephanie Mutter-Ayers,,Hon. James F. Watson,
,,,Hon. H. Cary Payne,,Hon. Frank Patrick Yeatts,
New Kent,Hon. Stephanie E. Merritt,Presiding Judge,Hon. Cressondra B. Conyers,Chief Judge,Hon. Benjamin Elliott Bondurant,Presiding Judge
,Hon. Stephen Ashton Hudgins,Chief Judge,Hon. Wade A. Bowie,,Hon. Richard H. Rizk,Chief Judge
,Hon. Colleen K. Killilea,,Hon. Mara M. Matthews,,Hon. Jeffrey W. Shaw,
,,,Hon. Brian J. Smalls,,Hon. Holly B. Smith,
Newport News,Hon. Matthew W. Hoffman,"Presiding Judge, Chief Judge",Hon. Jeffrey C. Rountree,"Presiding Judge, Chief Judge",Hon. Christopher R. Papile,"Presiding Judge, Chief Judge"
,Hon. Charisse M. Mullen,Presiding Judge,Hon. Rebecca M. Robinson,Presiding Judge,Hon. Timothy S. Fisher,Presiding Judge
,Hon. Robert G. Saunders,Presiding Judge,Hon. Kimberly Anne Kurkjian,,Hon. Gary A. Mills,Presiding Judge
,Hon. Michael S. Stein,Presiding Judge,Hon. Shawn W. Overbey,,Hon. Bryant L. Sugg,Presiding Judge
,,,,,Hon. Tyneka L. D. Flythe,
Norfolk ,Hon. Robert B. Rigney,Chief Judge,Hon. Devon R. Paige,"Presiding Judge, Chief Judge",Hon. David W. Lannetti,"Presiding Judge, Chief Judge"
,Hon. Joan E. Mahoney,,Hon. M. Randolph Carlson II,Presiding Judge,Hon. Michelle J. Atkins,Presiding Judge
,Hon. Michael C. Rosenblum,,Hon. Lauri DiEnno Hogge,Presiding Judge,Hon. John Raymond Doyle III,Presiding Judge
,Hon. Tameeka M. Williams,,Hon. Lyn M. Simmons,Presiding Judge,Hon. Mary Jane Hall,Presiding Judge
,,,Hon. Robert McLanahan Smith III,Presiding Judge,Hon. Jerrauld C. Jones,Presiding Judge
,,,,,Hon. Everett A. Martin Jr.,Presiding Judge
,,,,,Hon. Joseph A. Migliozzi Jr.,Presiding Judge
,,,,,Hon. Tasha D. Scott,
Northampton ,Hon. Gordon S. Vincent,"Presiding Judge, Chief Judge",Hon. Cela J. Burge,Chief Judge,Hon. Leslie L. Lilley,Chief Judge
,,,,,Hon. Kevin M. Duffan,
,,,,,Hon. Steven C. Frucci,
,,,,,Hon. William Revell Lewis III,
,,,,,Hon. James Clayton Lewis,
,,,,,Hon. Stephen C. Mahan,
,,,,,Hon. Anne Bonwill Shockley,
Northumberland ,Hon. John S. Martin,"Presiding Judge, Chief Judge",Hon. William L. Lewis,Presiding Judge,Hon. Roy Michael McKenney,Presiding Judge
,Hon. David B. Caddell Jr.,,Hon. Georgia K. Sutton,Chief Judge,Hon. Sarah L. Deneke,Chief Judge
,Hon. Hugh S. Campbell,,Hon. John E. Franklin,,Hon. William E. Glover,
,Hon. Richard T. McGrath,,Hon. Shannon O. Hoehl,,Hon. John Overton Harris,
,Hon. Angela M. O'Connor,,Hon. Julian W. Johnson,,Hon. Herbert M. Hewitt,
,Hon. Robert Eric Reibach,,Hon. Marcel D. Jones,,Hon. Patricia Kelly,
,Hon. Jane M. Reynolds,,Hon. Andrea M. Stewart,,Hon. Michael E. Levy,
,,,Hon. Frank G Uvanni,,Hon. Ricardo Rigual,
,,,Hon. Joseph A. Vance IV,,Hon. James Bruce Strickland,
,,,,,Hon. Gordon F. Willis,
,,,,,Hon. Victoria A. B. Willis,
Nottoway ,Hon. Ray P. Lupold III,Chief Judge,Hon. Phillip T. DiStanislao,Chief Judge,Hon. Paul W. Cella,Chief Judge
,Hon. Kenneth A. Blalock,,Hon. Theresa J. Royall,,Hon. Dennis M. Martin,
,Hon. Thomas Stark IV,,Hon. Cheryl J. Wilson,,Hon. Joseph M. Teefey Jr.,
Orange ,Hon. Claiborne H. Stokes Jr.,Chief Judge,Hon. Ronald L. Morris,Presiding Judge,Hon. Timothy K. Sanner,Chief Judge
,Hon. Theresa W. Carter,,Hon. Deborah S. Tinsley,Chief Judge,Hon. Dale B. Durrer,
,Hon. Matthew J. Quatrara,,Hon. David M Barredo,,Hon. David B. Franzen,
